                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3199,                 23.823,                 6.1097,                 4.3542,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0478,                 5.0911,                 10.569,                 4.1568,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 3.3616,                 20.708,                 6.1497,                 4.3361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0418,                 5.0877,                 10.569,                 4.1548,             1.3938e-05,             1.3938e-05,             1.3938e-05
                      3,                 3.5085,                  13.74,                 6.1845,                 4.2922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0361,                 5.0847,                 10.569,                  4.153,             1.9088e-05,             1.9088e-05,             1.9088e-05
                      4,                 3.5143,                 23.018,                 6.1226,                 4.3618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0314,                 5.0826,                 10.569,                 4.1514,             2.2587e-05,             2.2587e-05,             2.2587e-05
                      5,                 3.5073,                 12.964,                 6.1615,                 4.3563,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0271,                 5.0805,                 10.571,                 4.1498,             2.4438e-05,             2.4438e-05,             2.4438e-05
                      6,                 3.4509,                 11.525,                 6.0205,                 4.2798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0243,                 5.0795,                 10.572,                 4.1486,             2.4639e-05,             2.4639e-05,             2.4639e-05
                      7,                 3.2673,                 13.935,                 6.1029,                 4.3226,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0205,                 5.0787,                 10.577,                 4.1471,             2.3191e-05,             2.3191e-05,             2.3191e-05
                      8,                 3.4282,                 12.318,                 6.0749,                 4.2616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0182,                 5.0787,                  10.58,                 4.1466,             2.0093e-05,             2.0093e-05,             2.0093e-05
                      9,                 3.5176,                 10.266,                 6.1324,                 4.2709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.014,                 5.0791,                 10.586,                  4.146,             1.5346e-05,             1.5346e-05,             1.5346e-05
                     10,                 3.3417,                 12.949,                 6.0986,                 4.2803,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0114,                 5.0797,                  10.59,                 4.1459,               8.95e-06,               8.95e-06,               8.95e-06
